id,name,elements,sigelements,yeardiscovery,hmin,hmax,hardtype,specificgravity,strunz10ed1,strunz10ed2,strunz10ed3,strunz10ed4,dana8ed1,dana8ed2,dana8ed3,dana8ed4
35925,Birchite,-Cd-Cu-O-P-S-H-,-Cd-Cu-O-P-S-H-,,3.5,4.0,3,,8,D,B,70,43,3,3,
35949,Pašavaite,-Pb-Pd-Te-,-Pb-Pd-Te-,,2.0,2.0,0,,2,B,E,30,2,3,5,3
35951,Droninoite,-Cl-Fe-Ni-O-H-,-Cl-Fe-Ni-O-H-,,1.0,1.5,0,,3,D,A,60,10,6,16,
35952,Cupropolybasite,-Ag-Cu-Sb-S-,-Ag-Cu-Sb-S-,,3.0,3.5,0,,2,G,B,15,3,1,7,3
35967,Jahnsite-(NaMnMg),-Ca-Fe-Mg-Mn-Na-O-P-H-,-Fe-Mg-Mn-Na-O-P-H-,2005,4.0,4.0,0,,8,D,H,15,42,11,2,8
35969,Panichiite,-Cl-Sn-N-H-,-Cl-Sn-N-H-,,0.0,0.0,0,,3,0,0,,11,5,1,3
35970,Fantappièite,-Al-Ca-Na-Si-O-K-S-H-,-Al-Ca-Na-Si-O-K-S-H-,,6.0,6.0,0,,9,F,B,05,76,2,9,20
35971,Proshchenkoite-(Y),-Ca-Fe-Mn-Na-Si-B-O-P-F-Y-,-Ca-Fe-Si-B-O-P-F-Y-,1966,5.5,5.5,3,,9,A,J,35,54,2,5,4
35972,Angastonite,-Al-Ca-Mg-O-P-H-,-Al-Ca-Mg-O-P-H-,1988,2.0,2.0,2,,8,D,L,25,42,7,22,
35973,Stronadelphite,-Sr-O-P-F-,-Sr-O-P-F-,,5.0,5.0,0,,8,B,N,05,41,8,1,4
36014,Brownleeite,-Mn-Si-,-Mn-Si-,,0.0,0.0,0,,1,B,B,,,,,
36040,Tazieffite,-As-Bi-Cd-Cl-Pb-S-,-As-Cd-Cl-Pb-S-,,0.0,0.0,0,,2,J,B,65,,,,
36041,Plimerite,-Fe-Zn-O-P-H-,-Fe-Zn-O-P-H-,,3.5,4.0,0,,8,B,C,10,41,9,2,3
36058,Boromullite,-Al-Si-B-O-,-Al-Si-B-O-,,0.0,0.0,0,,9,A,F,23,52,2,3,2
36060,Eirikite,-Al-Be-Na-Si-O-K-F-,-Al-Be-Na-Si-O-K-F-,1983,6.0,6.0,0,,9,E,H,25,76,2,11,3
36062,Batisivite,-Ba-Si-Ti-O-V-,-Ba-Si-Ti-O-V-,,7.0,7.0,3,,9,B,E,95,56,2,20,
36064,Pertlikite,-Al-Fe-Mg-O-K-S-H-,-Al-Fe-Mg-O-K-S-H-,,0.0,0.0,0,,7,C,C,25,29,9,1,3
