index,date,name,category,value
263,2020-06-01,Arizona,4,6198.0
264,2020-06-01,Arkansas,5,847.0
265,2020-06-01,California,6,16741.0
266,2020-06-01,Colorado,7,1299.0
267,2020-06-01,Connecticut,8,1704.0
268,2020-06-01,Delaware,9,311.0
269,2020-06-01,District of Columbia,0,874.0
270,2020-06-01,Florida,10,8844.0
271,2020-06-01,Georgia,11,3594.0
272,2020-06-01,Hawaii,12,0.0
273,2020-06-01,Idaho,13,11.0
274,2020-06-01,Illinois,14,8247.0
275,2020-06-01,Indiana,15,3385.0
276,2020-06-01,Iowa,16,819.0
277,2020-06-01,Kansas,17,252.0
278,2020-06-01,Kentucky,18,965.0
279,2020-06-01,Louisiana,19,2454.0
280,2020-06-01,Maine,20,14.0
281,2020-06-01,Maryland,21,4956.0
282,2020-06-01,Massachusetts,22,4172.0
283,2020-06-01,Michigan,23,1861.0
284,2020-06-01,Minnesota,24,2508.0
285,2020-06-01,Mississippi,25,2210.0
286,2020-06-01,Missouri,26,898.0
287,2020-06-01,Montana,27,0.0
288,2020-06-01,Nebraska,28,431.0
289,2020-06-01,Nevada,29,453.0
290,2020-06-01,New Hampshire,30,409.0
291,2020-06-01,New Jersey,31,6320.0
292,2020-06-01,New Mexico,32,560.0
293,2020-06-01,New York,33,4471.0
294,2020-06-01,New York City,1,2819.0
295,2020-06-01,North Carolina,34,2984.0
296,2020-06-01,North Dakota,35,20.0
297,2020-06-01,Ohio,36,3736.0
298,2020-06-01,Oklahoma,37,271.0
299,2020-06-01,Oregon,38,216.0
300,2020-06-01,Pennsylvania,39,5515.0
301,2020-06-01,Rhode Island,40,845.0
302,2020-06-01,South Carolina,41,2141.0
303,2020-06-01,South Dakota,42,133.0
304,2020-06-01,Tennessee,43,1058.0
305,2020-06-01,Texas,44,10414.0
306,2020-06-01,Utah,45,244.0
307,2020-06-01,Vermont,46,0.0
308,2020-06-01,Virginia,47,2199.0
309,2020-06-01,Washington,48,973.0
310,2020-06-01,West Virginia,49,13.0
311,2020-06-01,Wisconsin,50,940.0
312,2020-06-01,Wyoming,51,0.0
313,2020-07-01,Alabama,2,5574.0
314,2020-07-01,Alaska,3,12.0
315,2020-07-01,Arizona,4,15084.0
316,2020-07-01,Arkansas,5,1655.0
317,2020-07-01,California,6,31865.0
318,2020-07-01,Colorado,7,1026.0
319,2020-07-01,Connecticut,8,276.0
320,2020-07-01,Delaware,9,127.0
321,2020-07-01,District of Columbia,0,216.0
322,2020-07-01,Florida,10,41089.0
323,2020-07-01,Georgia,11,9305.0
324,2020-07-01,Hawaii,12,0.0
325,2020-07-01,Idaho,13,639.0
326,2020-07-01,Illinois,14,2830.0
327,2020-07-01,Indiana,15,2290.0
328,2020-07-01,Iowa,16,986.0
329,2020-07-01,Kansas,17,578.0
330,2020-07-01,Kentucky,18,1200.0
331,2020-07-01,Louisiana,19,5104.0
332,2020-07-01,Maine,20,36.0
333,2020-07-01,Maryland,21,2067.0
334,2020-07-01,Massachusetts,22,1183.0
335,2020-07-01,Michigan,23,1020.0
336,2020-07-01,Minnesota,24,1006.0
337,2020-07-01,Mississippi,25,5030.0
338,2020-07-01,Missouri,26,1536.0
339,2020-07-01,Montana,27,153.0
340,2020-07-01,Nebraska,28,141.0
341,2020-07-01,Nevada,29,2766.0
342,2020-07-01,New Hampshire,30,64.0
343,2020-07-01,New Jersey,31,2281.0
344,2020-07-01,New Mexico,32,766.0
345,2020-07-01,New York,33,1400.0
346,2020-07-01,New York City,1,1049.0
347,2020-07-01,North Carolina,34,4714.0
348,2020-07-01,North Dakota,35,89.0
349,2020-07-01,Ohio,36,4437.0
350,2020-07-01,Oklahoma,37,1469.0
351,2020-07-01,Oregon,38,451.0
